# Gangliniendatei für Knoten 38503
#
#        Zeitpunkt|     Tiefe003|   Geschw.004|             tempw005|               vo2006|              vNH4007|              vNO3008|              gelp009|                si010|               aki011|            chlaki012|              obsb013|              ocsb014|            zooind015|                ss016|              tsed017|             abszo018|             templ019|             SCHWI020|
2010-01-10 12:00:00          4.21          0.62           0.005000000          13.924999237           0.330000013           4.514886379           0.067500003           4.699999809           0.283484817           2.430000067           2.161443472          15.230945587          25.299999237          15.805000305           0.005000000           0.000000000           0.000000000           0.000000000
2010-01-10 12:15:00          4.21          0.62           0.007464499          13.925943375           0.330000401           4.514888287           0.067501388           4.699951172           0.283597529           2.435962200           2.205568790          15.230651855          25.303543091          15.805000305           0.005013505           0.000000000           1.901153445           6.015392303
2010-01-10 12:30:00          4.24          0.61           0.010057725          13.927052498           0.330000490           4.514917374           0.067507684           4.699895382           0.283738762           2.439969540           2.205253363          15.230152130          25.307086945          15.802552223           0.005053866           0.000000000           1.915702105           6.164075375
2010-01-10 12:45:00          4.30          0.60           0.010228714          13.927481651           0.329999983           4.514973640           0.067518093           4.699901104           0.283713162           2.440627813           2.205149651          15.229734421          25.307088852          15.797657967           0.005120315           0.000000000           1.927305818           6.203965664
2010-01-10 13:00:00          4.34          0.60           0.010277869          13.927936554           0.329999626           4.515028954           0.067528509           4.699904919           0.283695549           2.441555738           2.205045938          15.229316711          25.307088852          15.792760849           0.005211994           0.000000000           1.935835123           6.133750439
2010-01-10 13:15:00          4.38          0.59           0.010204360          13.928407669           0.329999477           4.515084743           0.067538917           4.699906826           0.283685565           2.442219496           2.204942465          15.228896141          25.307088852          15.787864685           0.005326993           0.000000000           1.941172123           5.955992699
2010-01-10 13:30:00          4.40          0.59           0.010034481          13.928899765           0.329999298           4.515140533           0.067549326           4.699909210           0.283674628           2.443057775           2.204838037          15.228483200          25.307088852          15.782968521           0.005464007           0.000000000           1.943212748           5.677124500
2010-01-10 13:45:00          4.39          0.60           0.009758182          13.929404259           0.329999089           4.515195370           0.067559727           4.699911594           0.283662260           2.444086075           2.204733372          15.228068352          25.307088852          15.778073311           0.005621330           0.000000000           1.941866517           5.307177067
2010-01-10 14:00:00          4.36          0.60           0.009396479          13.929918289           0.329998791           4.515251637           0.067570142           4.699914455           0.283647835           2.445232630           2.204630852          15.227654457          25.307088852          15.773178101           0.005797384           0.000000000           1.937057018           4.859408379
2010-01-10 14:15:00          4.36          0.60           0.008928511          13.930416107           0.329998404           4.515306473           0.067580529           4.699918270           0.283627242           2.446696997           2.204526186          15.227233887          25.307088852          15.768281937           0.005987692           0.000000000           1.928721905           4.349820614
2010-01-10 14:30:00          4.33          0.61           0.008407108          13.930931091           0.329997927           4.515361786           0.067590922           4.699923038           0.283605367           2.448088169           2.204422951          15.226814270          25.307088852          15.763386726           0.006190069           0.000000000           1.916814804           3.796576262
2010-01-10 14:45:00          4.27          0.61           0.007835569          13.931448936           0.329997391           4.515417576           0.067601316           4.699929237           0.283578694           2.449533701           2.204319477          15.226401329          25.307088852          15.758490562           0.006398432           0.000000000           1.901304126           3.219338179
2010-01-10 15:00:00          4.26          0.62           0.007220726          13.931944847           0.329996645           4.515473366           0.067611694           4.699935913           0.283545077           2.451051950           2.204215288          15.225987434          25.307088852          15.753593445           0.006612588           0.000000000           1.882173896           2.638556242
2010-01-10 15:15:00          4.22          0.62           0.006597200          13.932452202           0.329995930           4.515528679           0.067622073           4.699943066           0.283508629           2.452373266           2.204111814          15.225566864          25.307088852          15.748698235           0.006830004           0.000000000           1.859424591           2.074725628
2010-01-10 15:30:00          4.18          0.63           0.005982955          13.932953835           0.329995036           4.515583992           0.067632452           4.699952126           0.283467740           2.453570604           2.204007626          15.225152016          25.307090759          15.743802071           0.007046430           0.000000000           1.833071828           1.547641277
2010-01-10 15:45:00          4.15          0.63           0.005403343          13.933453560           0.329994202           4.515640259           0.067642823           4.699961185           0.283425868           2.454477072           2.203904152          15.224737167          25.307090759          15.738906860           0.007257626           0.000000000           1.803147316           1.075677514
2010-01-10 16:00:00          4.10          0.64           0.004877999          13.933959961           0.329993248           4.515694618           0.067653187           4.699970245           0.283381730           2.456290245           2.203799725          15.224313736          25.307086945          15.734009743           0.007455524           0.000000000           1.769700050           0.675110042
2010-01-10 16:15:00          4.08          0.65           0.004437257          13.934453011           0.329992354           4.515750408           0.067663573           4.699980259           0.283337772           2.458773136           2.203696489          15.223902702          25.307088852          15.729114532           0.007639116           0.000000000           1.732792854           0.359507382
2010-01-10 16:30:00          4.04          0.66           0.004082553          13.934992790           0.329991847           4.515806198           0.067673959           4.699985027           0.283312798           2.460381746           2.203593016          15.223483086          25.307088852          15.724220276           0.007806750           0.000000000           1.692505836           0.139202788
2010-01-10 16:45:00          4.01          0.66           0.003833991          13.935472488           0.329990774           4.515861511           0.067684352           4.699996471           0.283259392           2.463248014           2.203488350          15.223068237          25.307083130          15.719323158           0.007956169           0.000000000           1.648934841           0.020853197
2010-01-10 17:00:00          3.97          0.67           0.003695507          13.936018944           0.329990596           4.515917301           0.067694761           4.699999332           0.283245862           2.463895559           2.203384638          15.222652435          25.307081223          15.714426994           0.008086033           0.000000000           1.602189779           0.000000000
2010-01-10 17:15:00          3.92          0.68           0.003613074          13.936586380           0.329990506           4.515972614           0.067705184           4.699999809           0.283242136           2.464018345           2.203281164          15.222234726          25.307081223          15.709531784           0.008195451           0.000000000           1.552395701           0.000000000
...
